mx,my,mz,vx,vy,vz,err_x,err_y,err_z,err_per_x,err_per_y,err_per_z
30,5,2,31.038357,4.958608,0.146796,-1.038357,0.041392,1.853204,,,
60,5,2,61.211242,4.719002,1.336529,-1.211242,0.280998,0.663471,,,
90,5,2,91.17372,4.889161,1.38259,-1.17372,0.110839,0.61741,,,
120,5,2,121.433142,5.164177,1.665519,-1.433142,-0.164177,0.334481,,,
150,5,2,151.046546,5.132414,1.628171,-1.04654600000001,-0.132414,0.371829,,,
30,30,2,30.967295,29.786875,1.468405,-0.967295,0.213125000000002,0.531595,,,
60,30,2,60.935546,29.158428,1.959124,-0.935546000000002,0.841571999999999,0.040876,,,
90,30,2,90.428656,30.090169,1.95687,-0.428656000000004,-0.090169,0.04313,,,
120,30,2,120.957656,30.249692,1.912385,-0.957656,-0.249692,0.087615,,,
150,30,2,149.944027,30.345963,1.947265,0.055972999999995,-0.345963000000001,0.052735,,,
30,55,2,30.165891,53.727594,2.01851,-0.165890999999998,1.272406,-0.01851,,,
60,55,2,60.505942,53.888301,2.597505,-0.505941999999997,1.111699,-0.597505,,,
90,55,2,90.119347,54.77945,2.071856,-0.119347000000005,0.220550000000003,-0.071856,,,
120,55,2,120.276382,54.964093,2.25267,-0.276381999999998,0.035907000000002,-0.25267,,,
150,55,2,149.632627,54.32951,3.057195,0.367372999999986,0.670490000000001,-1.057195,,,
30,80,2,30.100923,78.646656,2.281224,-0.100923000000002,1.35334400000001,-0.281224,,,
60,80,2,59.879669,79.655338,1.988004,0.120331,0.344662,0.011996,,,
90,80,2,89.68274,78.827702,3.098082,0.317260000000005,1.172298,-1.098082,,,
120,80,2,119.331757,79.943805,2.720069,0.668243000000004,0.056195000000003,-0.720069,,,
150,80,2,149.766275,80.023429,2.656861,0.233724999999993,-0.023428999999993,-0.656861,,,
30,105,2,30.017153,103.97197,2.036214,-0.017153000000001,1.02803,-0.036214,,,
60,105,2,59.895602,102.851755,3.318242,0.104398000000003,2.148245,-1.318242,,,
90,105,2,89.260098,104.091103,3.180615,0.739902000000001,0.908896999999996,-1.180615,,,
120,105,2,119.391543,104.158161,3.349813,0.608457000000001,0.841838999999993,-1.349813,,,
150,105,2,149.592707,104.207886,3.334109,0.40729300000001,0.792113999999998,-1.334109,,,
30,130,2,29.254569,129.097169,1.919986,0.745431,0.902830999999992,0.080014,,,
60,130,2,59.045528,127.735221,3.513076,0.954472000000003,2.264779,-1.513076,,,
90,130,2,89.31358,129.032345,2.853817,0.686419999999998,0.967655000000008,-0.853817,,,
120,130,2,119.164394,129.080993,3.266201,0.835605999999999,0.919006999999994,-1.266201,,,
150,130,2,149.620181,130.472482,2.549182,0.379818999999998,-0.472482000000014,-0.549182,,,
30,155,2,28.798323,153.129707,2.959555,1.201677,1.870293,-0.959555,,,
60,155,2,58.583259,154.562589,2.525859,1.416741,0.437410999999997,-0.525859,,,
90,155,2,88.972432,154.492691,3.039862,1.027568,0.507308999999992,-1.039862,,,
120,155,2,118.982304,154.476379,3.520605,1.017696,0.523620999999991,-1.520605,,,
150,155,2,149.046356,154.432491,3.595117,0.953643999999997,0.567509000000001,-1.595117,,,
30,180,2,28.235024,180.161515,2.455526,1.764976,-0.161515000000009,-0.455526,,,
60,180,2,57.965637,178.117267,3.899429,2.034363,1.882733,-1.899429,,,
90,180,2,88.590044,179.776737,3.222644,1.40995599999999,0.223263000000003,-1.222644,,,
120,180,2,117.883379,177.866737,4.805663,2.11662099999999,2.133263,-2.805663,,,
150,180,2,148.45806,179.593869,4.095751,1.54194000000001,0.406130999999988,-2.095751,,,
30,205,2,27.872206,204.686225,2.989695,2.127794,0.313774999999993,-0.989695,,,
60,205,2,57.716325,204.390644,3.65866,2.283675,0.609355999999991,-1.65866,,,
90,205,2,87.901842,204.16691,4.290479,2.098158,0.833089999999999,-2.290479,,,
120,205,2,118.308255,206.094203,3.794836,1.691745,-1.09420299999999,-1.794836,,,
150,205,2,147.957283,203.814345,5.279125,2.04271700000001,1.185655,-3.279125,,,
30,230,2,28.107567,227.382717,4.963021,1.892433,2.61728299999999,-2.963021,,,
60,230,2,57.720488,229.34173,4.539827,2.279512,0.658269999999988,-2.539827,,,
90,230,2,87.603733,229.028383,4.99392,2.39626699999999,0.971617000000009,-2.99392,,,
120,230,2,118.128468,231.146104,4.503493,1.871532,-1.14610400000001,-2.503493,,,
150,230,2,148.375596,230.882825,4.703022,1.624404,-0.882824999999997,-2.703022,,,
30,255,2,27.302337,255.010277,4.467365,2.697663,-0.010277000000002,-2.467365,,,
60,255,2,57.138335,251.856126,6.20737,2.861665,3.14387400000001,-4.20737,,,
90,255,2,87.222464,251.446775,6.708278,2.777536,3.553225,-4.708278,,,
120,255,2,116.805789,251.09042,7.182293,3.194211,3.90958000000001,-5.182293,,,
150,255,2,148.020152,256.066469,5.257796,1.979848,-1.06646899999998,-3.257796,,,
